L1,L2,L3,L4,L5,L6,ID,L1_Name,L2_Name,L3_Name,L4_Name,L5_Name,L6_Name,LID_Name
2,2,2,2,,,2,Topup,,,,,,Topup
2,4,4,4,,,4,Topup,Bill Payment,,,,,Bill Payment
2,3,6,6,,,6,Topup,Recharge,DTH,,,,DTH
2,3,8,8,,,8,Topup,Recharge,Toll,,,,Toll
2,4,10,10,,,10,Topup,Bill Payment,Landline,,,,Landline
2,4,12,12,,,12,Topup,Bill Payment,Electricity,,,,Electricity
15,15,15,15,,,15,Mobile Recharge,,,,,,Mobile Recharge
16,17,17,17,,,17,Recharge or Pay for,Mobile,,,,,Mobile
16,19,19,19,,,19,Recharge or Pay for,DataCard,,,,,DataCard
21,21,21,21,,,21,Mobile Bill Payment,,,,,,Mobile Bill Payment
23,23,23,23,,,23,DataCard,,,,,,DataCard
16,25,25,25,,,25,Recharge or Pay for,Gas,,,,,Gas
16,28,28,28,,,28,Recharge or Pay for,Metro,,,,,Metro
5021,5022,5022,5022,,,5022,Deals Near You,Food & Entertainment,,,,,Food & Entertainment
5021,5024,5024,5024,,,5024,Deals Near You,Shopping,,,,,Shopping
5028,5028,5028,5028,,,5028,Men's Fashion,,,,,,Men's Fashion
5028,5029,5030,5030,,,5030,Men's Fashion,Men Clothing,T-Shirts,,,,T-Shirts
5028,5029,5032,5032,,,5032,Men's Fashion,Men Clothing,Jackets & Sweatshirts,,,,Jackets & Sweatshirts
5028,5029,5034,5034,,,5034,Men's Fashion,Men Clothing,Suits,,,,Suits
5028,5029,5036,5036,,,5036,Men's Fashion,Men Clothing,Trousers & Chinos,,,,Trousers & Chinos
5028,5029,5038,5038,,,5038,Men's Fashion,Men Clothing,Innerwear & Sleepwear,,,,Innerwear & Sleepwear
5028,5041,5041,5041,,,5041,Men's Fashion,Accessories,,,,,Accessories
5028,5041,5043,5043,,,5043,Men's Fashion,Accessories,Wallets,,,,Wallets
5028,5041,5047,5047,,,5047,Men's Fashion,Accessories,Handkerchiefs,,,,Handkerchiefs
5028,5048,5049,5049,,,5049,Men's Fashion,Footwear,Slippers & Flip Flops,,,,Slippers & Flip Flops
5028,5048,5051,5051,,,5051,Men's Fashion,Footwear,Canvas shoes,,,,Canvas shoes
5028,5048,5053,5053,,,5053,Men's Fashion,Footwear,Sport Shoes,,,,Sport Shoes
5028,5048,5055,5055,,,5055,Men's Fashion,Footwear,Loafers,,,,Loafers
5028,5048,5058,5058,,,5058,Men's Fashion,Footwear,Outdoor Shoes,,,,Outdoor Shoes
5028,5041,5060,5060,,,5060,Men's Fashion,Accessories,Bags,,,,Bags
5028,5062,5062,5062,,,5062,Men's Fashion,Not In Use,,,,,Not In Use
5028,5064,5064,5064,,,5064,Men's Fashion,Others,,,,,Others
5170,5170,5170,5170,,,5170,Women's Fashion,,,,,,Women's Fashion
5021,5186,5186,5186,,,5186,Deals Near You,Most Popular,,,,,Most Popular
5170,5180,5188,5188,,,5188,Women's Fashion,Western Wear,T-Shirts & Tank Tops,,,,T-Shirts & Tank Tops
