client_id,external_client_id
2019082116525100477796,genietalk
2019081917592300627888,fsm-prod
2019080718265500494925,merchant-tictok-skill-games
2019071718463100448914,salesforce-mp
2019071616034500532176,merchan-inox
2019071112002900459121,merchant-sbn-prod
2019070310562500441622,merchant-starquik-prod
2019070213404800671365,fastag-prod-bank
2019062515461700521737,tecops-test-client
2019062417134400657366,busoperator-panel
2019062019415500398412,admanager
2019062019322000528001,merchant-khazana-biryani
2019061811023100426723,merchant-healtharx-prod
2019061215293900376915,merchant-gaana-prod
2019061213011500544044,gp-google-android-prod
2019061115203900383195,paytm-personal-loan-service
2019061115162600554585,paytm-collections-service
2019061115113700623961,paytm-cir-service
2019061017302700359116,merchant-aloha-prod
2019053012401700537081,merchant-indigo
2019051413050500332623,insurance-prod
2019051411042700352796,merchant-power-square
2019051013123600525784,merchant-witzeal-prod
2019050117455500456157,merchant-primemover
2019042612003600510246,bank-catalogue-service
2019042412080200445954,merchant-emoji
2019041711511500492543,merchant-docprime
2019041512291500435153,merchant-skillwin
2019041217554400343710,merchant-banger-tech
2019041215132000477742,merchant-goqii
2019041211260600477288,merchant-ido-sport
2019041019511900459886,pos-be
2019041019470800448987,pos-app-ios
2019041019433800438180,pos-app-android
2019041011304400329013,travel-corp
2019040910462400267723,merchant-keto-garden
2019040516395200402501,gp-pro-android-prod
2019040513405800541465,merchant-spoyl-tech
2019040512504200447241,merchant-wildcraft-india
2019040414244400521868,merchant-seygnux-solutions
2019040216264000441132,merchant-clues-network
2019040216061200384288,channels-admin-panel
2019040215505100385871,notification_Service_prod
2019040211492600317516,catalog-acl
2019040118124000363809,merchant-extranet-be
2019032818364600373971,paytm-money-backend
2019032512444200348302,merchant-xender
2019031515040700411831,fastag-prod
2019031416501000357572,merchant-manash-lifestyle
2019031413152200404253,cst travel panel frontend prod
2019030117290900449964,paytm-forms-prod
2019022517082700418345,merchant-cricplay
2019022515094700203329,merchant--future-fiacre
2019022513374100394159,merchant-manash-lifestyle
2019022512345000391340,merchant-dhfl
2019022118291400325179,merchant-mpl-gaming
2019021910480200430868,merchant-zerotoone
2019021510595700277699,bo-panel-be
2019021414513900377038,ump-automation-internal
2019021311474900358458,merchant-gensol
2019020615163200335086,business-lending-client
2019020518321700250870,u2opia-mobile
2019013116391000281040,merchant-alicloud
2019012517591300327634,prms-client
2019012318315000264249,business-lending
2019012317542100246913,merchant-wcfn
2019012113181200369660,paytm-gg-paytm
2019011715264900249146,merchant-vendiman
2019011116243500198071,merchant-parkwheels
2019011115562900282503,merchant-arvind-lifestyle
2019011016314700231218,bank-oauth-service
2019010715093600320468,movies-market
2019010711221800304283,paytm-bank-mw-epi
2019010216131500290582,merchant-hotstar-novi
2018122616411500273583,merchant-techmash-solutions
2018121812370600258284,merchant-shop-101
2018121812094400228794,paytm-prime-user
2018121414471300241682,merchant-netplay-sports
2018121412171100280133,paytm-enstage
2018121318541100223084,platformplus-perf-testing
2018121213302300188310,merchant-as-justride
2018120717305900196041,subscription-pg-client
2018120619203900211191,paytm-pg-bosspanel
2018120518085200128321,Virtus-Motors
2018120411204900198491,neuu-labs-pvt-ltd
2018120311080500185092,zify-tech-solutions
2018113014043100268761,zoloz
2018112914401600146842,ocl-cif-app
2018112816294300173999,merchant-listing
2018112812124300171473,0a2ee8d0-46dd-11e3-8f96-0800200c9a66
2018112717380700111624,a-m-marketplaces
2018112715332500199401,p-data-service
2018112619132300237769,banglore-metro
2018112612481900218864,edc-pos
2018112218184700217653,merchant-dineout
2018112119124400199962,merchant-ALTT-Associates
2018112116230800125994,info-edge-india-limited
2018112116112800187682,innovatealpha-techventures
2018112112342700116046,urbanclap-merchant
2018111318100600175251,bank-payout
2018110223483400098848,preprod-testing-client3
2018110217181000167985,unified-agent-panel
2018110113295500084449,merchant-yum-restaurants-kfc
2018110112521000142477,merchant-meritnation
2018110112002300181664,merchant-toppr-technologies
2018102914482600166960,chargein-kiosk-private-limited
2018102512100600149308,merchant-faaso-food-service
2018102411511200148064,ocl-cif-panel
2018101618213200143755,merchant-paytm-small-store
2018101516135300094199,merchant-74bc
2018101515074700130500,paytm-wholesale-web
2018101213350500108978,resellertag-untag
2018101212224300076624,merchant-samsung
2018101212082800095714,gameskraft-technologies
2018100313075000098379,merchant-zivame
2018100312054200111162,merchant-magicpin
2018100112304500080197,merchant-tisane-beverages
2018100112221100078974,merchant-street-ride
2018092819224500068573,diy-ppb-web
2018092818115200086100,magicpin
2018092818012500055174,Zivame
2018092511365400158332,pt-testclient-1
2018092412014800141734,merchant-jahasa
2018092018192900051268,picker-app
2018092015255400128032,merchant-knoctowl-technologies
2018091816084900108534,cst-uap-support
2018091716075200042922,merchant-idisha-info
2018091311242800058584,merchant-quickride
2018090716181900075601,merchant-bombaysandwich
2018090712200800064507,merchant-searo-pvt-ltd
2018090418133600035811,paytm-ump2-preprod
2018090418111400075735,merchant-leapmile
2018090414370000061435, merchant-bombaysandwich
2018083116031100036677,merchant-quintillion
2018083114331000021776,swiggy
2018083011441300028886,p-shadow3
2018083011415400010081,p-shadow2
2018083011392400028902,p-shadow1
2018082917543100053859,paytm-developer-preprod
2018082823025000025416,paytm-panel-activity-staging
2018082811530500025133,paytm-developer
2018082412055400000041,merchant-spotify
