Class,Vertical,Category,Field,Alias,Type,Description
Profile,Profile,Profile,customer_id,Customer Id,Long,Unique ID for each Paytm Canada customer
Profile,Profile,Profile,email,Email,String,Customer email - not verified unless email_verified = 1
Profile,Profile,Profile,email_id,Email Id,String,Customer email - not verified unless email_verified = 2
Profile,Profile,Profile,country_code,Country Code,String,Customer country
Profile,Profile,Profile,year_of_birth,Year Of Birth,Integer,Year of birth (not verified unless KYC completed)
Profile,Profile,Profile,risk_score,Risk Score,Integer,Automatic estimated risk score for customer
Profile,Profile,Profile,notification_flags,Notification Flags,Integer,Notification flags from within app settings # 0 - Both Unchecked # 1 - Email Update Checked Indian Biller Unchecke # 2- Email Update Unchecked Indian Biller Checked # 3- Both Checked
Profile,Profile,Profile,kyc_verified,Kyc Verified,Integer,Customer has completed KYC verification
Profile,Profile,Profile,first_name,First Name,String,Customer name
Profile,Profile,Profile,last_name,Last Name,String,Customer name
Profile,Profile,Profile,referrer_code,Referrer Code,String,Code used for referring sometimes specific to marketing campaigns
Profile,Profile,Profile,count_phone_numbers,Count Phone Numbers,Long,Number of phone numbers added to account
Profile,Profile,Profile,number,Phone Number,String,Most recent verified phone number
Profile,Profile,Profile,address_city,Address City,String,City from customer address
Profile,Profile,Profile,province_state,Province State,String,Province entered as the customer's address.
Profile,Profile,Profile,country,Country,String,Country entered as the customer's address
Profile,Profile,Profile,latitude,Latitude,Double,Latitude estimated for customer's IP address
Profile,Profile,Profile,longitude,Longitude,Double,Longitude estimated for customer's IP address
Profile,Profile,Profile,ip_location_city,Ip Location City,String,City estimated for customer's IP address
Profile,Profile,Profile,os_type,Os Type,String,Latest operating system used by transacting customers
Profile,Profile,Profile,email_verified,Email Verified,Integer,1 if customer has verified their email address 0 otherwise
Profile,Profile,Profile,phone_verified,Phone Verified,Integer,1 if customer has verified their phone number 0 otherwise
Profile,Profile,Profile,address_entered,Address Entered,Integer,1 if customer has entered their address (city) 0 otherwise
Profile,Profile,Profile,phone_entered,Phone Entered,Integer,1 if customer has entered a phone number 0 otherwise
Profile,Profile,Profile,days_since_signup,Days Since Signup,Integer,Number of days since customer signed up (downloaded the app and entered an email address)
Profile,Profile,Profile,days_to_email_verification,Days To Email Verification,Integer,Days between when a customer signed up and when they verified their email
Profile,Profile,Profile,days_to_phone_verification,Days To Phone Verification,Integer,Days between when a customer signed up and when they were KYCd
Profile,Profile,Profile,days_to_kyc_verification,Days To Kyc Verification,Integer,Days between when a customer signed up and when they verified their phone
Profile,Profile,Profile,age,Age,Integer,Approximate age - current year minus birth year
Profile,Profile,Profile,email_notifications_subscribed,Email Notifications Subscribed,Integer,Customer has agreed to receive marketing emails (notifcation flags = 1 or 3)
Profile,Profile,Profile,score_increasing_675_date,Customer Score Crossing 675 Date,Date,Date when customer score crossed 675
Behavioural,Wallet,Wallet,current_wallet_balance,Current Wallet Balance,Double,current balance of Paytm cash in customer's wallet
Transactional,Wallet,Wallet,total_wallet_txn_amount,Total Wallet Txn Amount,Double,Total amount of paytm cash sent or received in customer's wallet
Behavioural,Wallet,Wallet,avg_wallet_txn_amount,Avg Wallet Txn Amount,Double,Avg amount of paytm cash sent or received in customer's wallet
Transactional,Wallet,Wallet,total_wallet_transactions,Total Wallet Transactions,Long,Total number of transactions made in customer's wallet
Transactional,Wallet,Wallet,total_p2p_txn_amount,Total P2P Txn Amount,Double,Total paytm cash sent by person to person transfer from customer's wallet
Transactional,Wallet,Wallet,total_emt_txn_amount,Total Emt Txn Amount,Double,Total paytm cash added by email transfer to customer's wallet
Transactional,Wallet,Wallet,total_can_post_txn_amount,Total Can Post Txn Amount,Double,Total paytm cash added by canada post topup to customer's wallet
Transactional,Wallet,Wallet,total_pad_topup_txn_amount,Total Pad Topup Txn Amount,Double,Total paytm cash added by bank account to customer's wallet
Transactional,Wallet,Wallet,total_customer_care_txn_amount,Total Customer Care Txn Amount,Double,Total customer care cash received to customer's wallet
Behavioural,Wallet,Wallet,avg_p2p_txn_amount,Avg P2P Txn Amount,Double,Avg paytm cash sent by person to person transfer from customer's wallet
Behavioural,Wallet,Wallet,avg_emt_txn_amount,Avg Emt Txn Amount,Double,Avg paytm cash added by email transfer to customer's wallet
Behavioural,Wallet,Wallet,avg_can_post_txn_amount,Avg Can Post Txn Amount,Double,Avg paytm cash added by canada post topup to customer's wallet
Behavioural,Wallet,Wallet,avg_pad_topup_txn_amount,Avg Pad Topup Txn Amount,Double,Avg paytm cash added by bank account to customer's wallet
Behavioural,Wallet,Wallet,avg_customer_care_txn_amount,Avg Customer Care Txn Amount,Double,Avg customer care cash received to customer's wallet
Transactional,Wallet,Wallet,count_p2p_txns,Count P2P Txns,Long,Total person to person transfer transactions from customer's wallet
Transactional,Wallet,Wallet,count_emt_txns,Count Emt Txns,Long,Total email transfer transactions to customer's wallet
Transactional,Wallet,Wallet,count_can_post_txns,Count Can Post Txns,Long,Total canada post topup transactions to customer's wallet
Transactional,Wallet,Wallet,count_pad_topup_txns,Count Pad Topup Txns,Long,Total bank account transactions to customer's wallet
Transactional,Wallet,Wallet,count_customer_care_txns,Count Customer Care Txns,Long,Total customer care transactions received to customer's wallet
Transactional,Wallet,Wallet,preferred_funding_source,Preferred Funding Source,String,Top funding source in terms of transactions - emt / canada post / bank account
Transactional,Billers,Billers,num_canadian_payees_added,Num Canadian Payees Added,Long,Count of distinct Canadian payees added by the customer
Transactional,Billers,Billers,num_indian_payees_added,Num Indian Payees Added,Long,Count of distinct Indian payees added by the customer
Transactional,All,All,total_orders,Total Orders,Long,Total orders made by the customer (both billers and gift cards)
Transactional,Billers,Billers,total_bill_orders,Total Bill Orders,Long,Total payee orders made by the customer
Transactional,Billers,Billers,total_canadian_bill_orders,Total Canadian Bill Orders,Long,Total payee orders made to Canadian payees
Transactional,Billers,Billers,total_indian_bill_orders,Total Indian Bill Orders,Long,Total payee orders made to Indian payees
Transactional,Gift Cards,Gift Cards,total_gift_cards_orders,Total Gift Cards Orders,Long,Total gift card orders made to Canadian payees
Transactional,Billers,Billers,total_spent,Total Spent,Double,Total spent on all products by the customer
Behavioural,Billers,Billers,avg_spend_per_order,Avg Spend Per Order,Double,Average spent per order on all products
Behavioural,Billers,Billers,avg_bill_spend_per_order,Avg Bill Spend Per Order,Double,Average spent per payee order 
Behavioural,Gift Cards,Gift Cards,avg_gift_card_amount,Avg Gift Card Amount,Double,Average spent per gift card order 
Transactional,All,All,count_promo_codes_used,Count Promo Codes Used,Long,Total promo codes that customer has used
Transactional,All,All,sum_promo_cash_received,Sum Promo Cash Received,Double,Total promo cash received by customer
Transactional,Billers,Billers,num_billers_paid,Num Billers Paid,Long,Number of unique billers paid
Transactional,Billers,Billers,num_biller_categories_paid,Num Biller Categories Paid,Long,Number of unique biller categories paid
Transactional,Payments,Payments,count_wallet_orders,Count Wallet Orders,Long,Total orders paid partially or fully using wallet 
Transactional,Payments,Payments,count_cc_orders,Count Cc Orders,Long,Total orders paid partially or fully using credit card
Transactional,Payments,Payments,count_bank_orders,Count Bank Orders,Long,Total orders paid partially or fully using bank account
Transactional,Payments,Payments,total_spent_wallet,Total Spent Wallet,Double,Total dollars spent on orders partially or fully using wallet
Transactional,Payments,Payments,total_spent_cc,Total Spent Cc,Double,Total dollars spent on orders partially or fully using credit card
Transactional,Payments,Payments,total_spent_bank,Total Spent Bank,Double,Total dollars spent on orders partially or fully using bank (pad)
Behavioural,All,All,avg_order_time,Avg Order Time,Double,Average time of day when a customer makes orders in hours as decimal
Behavioural,Billers,Billers,avg_bill_order_time,Avg Bill Order Time,Double,Average time of day when a customer makes bill orders in hours as decimal
Transactional,Billers,Billers,most_recent_biller_paid,Most Recent Biller Paid,String,Biller paid in latest biller order
Transactional,Gift Cards,Gift Cards,most_recent_gift_card_purchase,Most Recent Gift Card Purchase,String,Gift card purchased in latest gift card order
Transactional,Gift Cards,Gift Cards,preferred_gift_card_name_amount_30_days,Preferred Gift Card Name Amount In The Past 30 Days,String,Most-purchased gift card last 30 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_30_days,Gift Card Name Amount Paid In The Past 30 Days,List[String],List of all gift cards that a customer has bought in the last 30 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_multiple_times_30_days,Gift Card Name Amount Paid Multiple Times In The Past 30 Days,List[String],List of all gift cards that a customer has bought multiple times in the last 30 days
Transactional,Gift Cards,Gift Cards,preferred_gift_card_name_amount_60_days,Preferred Gift Card Name Amount In The Past 60 Days,String,Most-purchased gift card last 60 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_60_days,Gift Card Name Amount Paid In The Past 60 Days,List[String],List of all gift cards that a customer has bought in the last 60 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_multiple_times_60_days,Gift Card Name Amount Paid Multiple Times In The Past 60 Days,List[String],List of all gift cards that a customer has bought multiple times in the last 60 days
Transactional,Gift Cards,Gift Cards,preferred_gift_card_name_amount_90_days,Preferred Gift Card Name Amount In The Past 90 Days,String,Most-purchased gift card last 90 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_90_days,Gift Card Name Amount Paid In The Past 90 Days,List[String],List of all gift cards that a customer has bought in the last 90 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_multiple_times_90_days,Gift Card Name Amount Paid Multiple Times In The Past 90 Days,List[String],List of all gift cards that a customer has bought multiple times in the last 90 days
Transactional,Gift Cards,Gift Cards,preferred_gift_card_name_amount_120_days,Preferred Gift Card Name Amount In The Past 120 Days,String,Most-purchased gift card last 120 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_120_days,Gift Card Name Amount Paid In The Past 120 Days,List[String],List of all gift cards that a customer has bought in the last 120 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_multiple_times_120_days,Gift Card Name Amount Paid Multiple Times In The Past 120 Days,List[String],List of all gift cards that a customer has bought multiple times in the last 120 days
Transactional,Gift Cards,Gift Cards,preferred_gift_card_name_amount_150_days,Preferred Gift Card Name Amount In The Past 150 Days,String,Most-purchased gift card last 150 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_150_days,Gift Card Name Amount Paid In The Past 150 Days,List[String],List of all gift cards that a customer has bought in the last 150 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_multiple_times_150_days,Gift Card Name Amount Paid Multiple Times In The Past 150 Days,List[String],List of all gift cards that a customer has bought multiple times in the last 150 days
Transactional,Gift Cards,Gift Cards,preferred_gift_card_name_amount_180_days,Preferred Gift Card Name Amount In The Past 180 Days,String,Most-purchased gift card last 180 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_180_days,Gift Card Name Amount Paid In The Past 180 Days,List[String],List of all gift cards that a customer has bought in the last 180 days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_multiple_times_180_days,Gift Card Name Amount Paid Multiple Times In The Past 180 Days,List[String],List of all gift cards that a customer has bought multiple times in the last 180 days
Transactional,Gift Cards,Gift Cards,preferred_gift_card_name_amount_730_days,Preferred Gift Card Name Amount In The Past 2 Years,String,Most-purchased gift card last 2 years days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_730_days,Gift Card Name Amount Paid In The Past 2 Years,List[String],List of all gift cards that a customer has bought in the last 2 years days
Transactional,Gift Cards,Gift Cards,gift_card_name_amount_paid_multiple_times_730_days,Gift Card Name Amount Paid Multiple Times In The Past 2 Years,List[String],List of all gift cards that a customer has bought multiple times in the last 2 years days
Transactional,Billers,Billers,preferred_biller_name_30_days,Preferred Biller Name In The Past 30 Days,String,Most-paid biller last 30 days
Transactional,Billers,Billers,biller_name_paid_30_days,Biller Name Paid In The Past 30 Days,List[String],List of all billers customer has paid in the last 30 days
Transactional,Billers,Billers,biller_name_paid_multiple_times_30_days,Biller Name Paid Multiple Times In The Past 30 Days,List[String],List of all billers customer has paid multiple times in the last 30 days
Transactional,Billers,Billers,preferred_biller_name_60_days,Preferred Biller Name In The Past 60 Days,String,Most-paid biller last 60 days
Transactional,Billers,Billers,biller_name_paid_60_days,Biller Name Paid In The Past 60 Days,List[String],List of all billers customer has paid in the last 60 days
Transactional,Billers,Billers,biller_name_paid_multiple_times_60_days,Biller Name Paid Multiple Times In The Past 60 Days,List[String],List of all billers customer has paid multiple times in the last 60 days
Transactional,Billers,Billers,preferred_biller_name_90_days,Preferred Biller Name In The Past 90 Days,String,Most-paid biller last 90 days
Transactional,Billers,Billers,biller_name_paid_90_days,Biller Name Paid In The Past 90 Days,List[String],List of all billers customer has paid in the last 90 days
Transactional,Billers,Billers,biller_name_paid_multiple_times_90_days,Biller Name Paid Multiple Times In The Past 90 Days,List[String],List of all billers customer has paid multiple times in the last 90 days
Transactional,Billers,Billers,preferred_biller_name_120_days,Preferred Biller Name In The Past 120 Days,String,Most-paid biller last 120 days
Transactional,Billers,Billers,biller_name_paid_120_days,Biller Name Paid In The Past 120 Days,List[String],List of all billers customer has paid in the last 120 days
