Class,Vertical,Category,Name,Alias,Datatype,Description,isEnable,ExecLevel,isExposed
Profile,Profile,Profile,customer_id,Customer Id,Long,Unique ID for each Paytm customer,1,PROFILE,1
Profile,Profile,Profile,customer_id_last_two_digits,Last two digits of Customer Id,Long,Last two digits of the Unique ID for each Paytm customer,1,PROFILE,1
Profile,Profile,Profile,email_id,Email Id,String,Customer's email address,1,PROFILE,1
Profile,Profile,Profile,phone_no,Phone Number,String,Customer's phone number,1,PROFILE,1
Profile,Profile,Profile,sign_up_date,Sign Up Date,Date,Date at which customer signed up at Paytm,1,PROFILE,1
Profile,Profile,Profile,external_sign_up_date,External Sign Up Date by platform,Nested,Date at which customer signed up thru third party,1,PROFILE,1
Profile,Profile,Profile,external_sign_up_date.sign_up_date,External Sign Up Date by platform,Date,Date at which customer signed up  thru third party,1,PROFILE,1
Profile,Profile,Profile,external_sign_up_date.external_client_id,External Sign Up Date by platform,String,Date at which customer signed up  thru third party,1,PROFILE,1
Push,Channel,Channel,last_push_receive_date,Last Push Receive Date,Date,Date at customer was last sent a push,1,PUSH,1
Profile,Profile,Profile,KYC_completion,KYC Completion,Integer,Has customer completed KYC process?,1,PROFILE,1
Profile,Profile,Profile,age,Age,Integer,Age of customer,1,PROFILE,1
Profile,Profile,Profile,gender,Gender,String,Gender of customer,1,PROFILE,1
Profile,Profile,Profile,city,City,String,City where customer lives,1,PROFILE,1
Profile,Profile,Profile,state,State,String,State where customer lives,1,PROFILE,1
Profile,Profile,Profile,kyc_gender,KYC Gender,String,Gender of customer,1,PROFILE,1
Profile,Profile,Profile,kyc_city,KYC City,String,City where customer lives,1,PROFILE,1
Profile,Profile,Profile,kyc_state,KYC State,String,State where customer lives,1,PROFILE,1
Profile,Profile,Profile,country,Country,String,Country of customer,0,PROFILE,0
Profile,Profile,Profile,latest_lang,Language,String,Preferred language of customer,1,Profile,1
Profile,Profile,Profile,pin_code,PIN Code,String,PIN Code of the customer,1,PROFILE,1
Profile,Profile,Profile,l2_pseudo_id,Top Activation Category,List[String],Top category where customer has not transacted in last 90 days,1,PROFILE,1
Profile,Profile,Profile,paytm_l2_pseudo_id,Top Activation Category Among All Verticals,List[String],Top category where customer has not transacted in last 90 days among mall o2o and recharge vertical,1,PROFILE,1
Profile,Profile,Profile,super_user_id,Super User Id ,Long,Super User Id for the the customer id,1,PROFILE,1
Profile,Profile,Profile,has_same_super_id,Same Super User Id ,Integer,Customer has the same customer id and super user id,1,PROFILE,1
Profile,Profile,Profile,ticketnew_user_flag,TicketNew User Flag,Integer,Flag for indicating TicketNew users,1,PROFILE,1
Profile,Profile,Profile,insider_user_flag,Insider User Flag,Integer,Flag for indicating Insider users,1,PROFILE,1
Email,Channel,Channel,can_receive_email,Can Receive Email,Integer,Flag for indicating unsubscribed users,1,PROFILE,1
Email,Channel,Channel,num_of_unreads_since_last_read,Number of Unreads Since Last Read,Integer,Number of unread emails since last opened email,1,PROFILE,1
Email,Channel,Channel,latest_delivery_date,Latest Delivery Date,Date,Most recent time customer was delivered promo email,1,PROFILE,1
Email,Channel,Channel,latest_open_date,Latest Open Date,Date,Most recent time customer opened promo email,1,PROFILE,1
